"CONSUMER SPECIALTIES
(Pharmaceuticals, Nutrition, AgChem, Personal Care, Adv Mat)",,,GREEN shaded columns represent Dropdown update Data,,,,,,,Ashland FisCal Quarter-1 (Oct 1 to Dec 31),,,,,,,,,,,,,,,,
,,,,,,,,,,Ashland FisCal Quarter-2 (Jan 1 to Mar 31),,,,,,,,,,,,,,,,
,,,,,,,,,,Ashland FisCal Quarter-3 (Apr 1 to Jun 30),,,,,,,,,,,,,,,,
Distributor Name: ,,,PURPLE shaded columns represent Manually update Data,,,,,,,Ashland FisCal Quarter-4 (Jul 1 to Sep 30),,,,,,,,,,,,,,,,
Dist. Rep Name: ,,,,,,,,,,,,,,,,,,,,,,,,,,
Dist. Rep Email:  ,,,,,,,,,,,,,,,,,,,,,,,,,,
LISD Information,,,,OPPORTUNITY OWNER,END USE CUSTOMER & CONTACT INFORMATION,,End Use CONTACT RELATIONSHIP STATUS,,DETAILED INFORMATION ON THE OPPORTUNITY,"DATE format MM/DD/YYYY-(Example: 10/22/2015 for OCT 22, 2015)",,ASI - MATERIAL & REVENUE INFORMATION,,,,AUTO FILL COLUMN ,COMPETITION DETAILS,Opportunity STAGE Qualification,STAGE Description,OPPORTUNITY DETAILS,,,,OPPORTUNITY RESULTS INFORMATION,OPPORTUNITY RESULTS INFORMATION (other reason),"DATE format MM/DD/YYYY-(Example: 10/22/2015 for OCT 22, 2015)"
"Sales Office Desc 
(Region)","Sales Group Desc 
(Country Name)",Customer Group Desc (Business Unit),"PAC Description
(END USE MARKET APPLICATION)","Opportunity Owner 
(Ashland Account Rep)","End Use Customer Account 
(Name & Address)","End Use Contact
Name, Title (Designation) & Email","Contact Capability
(Key Role)",RELATIONSHIP STATUS,"Opportunity Notes (Description)
Info on customer project/ ASI samples /lab work support ?, etc","Expected Decision Date 
(Close Date)","Expected Revenue Date
(greater than close date)","ASI PRODUCT FULL NAME
(MATERIAL WITH GRADE)","UOM
(Unit of Measure)","PRODUCT QUANTITY
Per Annum ( Kg / lb)","PRODUCT PRICE
(USD per Kg / lb)","Total Opportunity Revenue 
(Value per Annum)",Competitor Name & Related Information,Percent (%) Probability of Winning the Opportunity,"Describe current stage of the opportunity
(Sampling, Need ASI Lab Support, Customer Trials, FDA approval, Negotiations, etc.) as applicable","SBU
(Strategic Business Unit)",Functionality,Opportunity Type,Opportunity Status,"Result Reason (Reason for Close)
(provide only for CLOSED Status from Previous Column)","Results Description 
(provide only for option OTHER from Previous column)","Actual Decision Date
(Won / Lost Status only)"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Name: 
Address: 
Phone No: ","Name: 
Desg/Title: 
Email: ",,,,,,,,,,=P10*O10,,,,,,,,,,
,,,,,"Name: 
Address: 
Phone No: ","Name: 
Desg/Title: 
Email: ",,,,,,,,,,=P11*O11,,,,,,,,,,
